Station,Date,Time,File.Name,Latitude_DD,Longitude_DD,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_GarciaGordon_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,43.406,3.953,31.7642,25.2177,322.93468,91.297,16.57122,0.7784,0.4598,NA,0.2745,93.3673
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,44.428,3.9764,31.7537,25.2071,322.77644,91.452,16.56374,0.70002,0.4556,NA,0.2681,93.5179
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,45.424,3.9809,31.7615,25.2128,322.7225,91.4,16.56115,0.63214,0.4753,NA,0.2687,93.505
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,46.443,3.997,31.7645,25.2138,322.58867,91.394,16.55477,0.57059,0.4621,NA,0.2658,93.5699
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,47.45,4.0077,31.7684,25.2158,322.49543,91.419,16.55032,0.51528,0.4614,NA,0.2638,93.6195
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,48.457,4.0184,31.7623,25.2099,322.4265,91.413,16.54707,0.46589,0.4639,NA,0.2628,93.6416
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,49.467,4.0197,31.7621,25.2097,322.41657,91.401,16.54659,0.42251,0.4702,NA,0.2613,93.6772
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,50.476,4.0216,31.7645,25.2114,322.39655,91.403,16.54563,0.38306,0.4525,NA,0.2625,93.6496
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,51.488,4.0266,31.7652,25.2114,322.35524,91.326,16.54367,0.34713,0.4538,NA,0.2601,93.7046
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,52.503,4.0322,31.7702,25.215,322.29913,91.363,16.54098,0.31442,0.4547,NA,0.2587,93.738
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,53.496,4.0449,31.7753,25.2178,322.18766,91.389,16.53566,0.28473,0.4678,NA,0.2587,93.7366
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,54.522,4.0574,31.7711,25.2132,322.09985,91.346,16.53149,0.25789,0.4433,NA,0.2576,93.7639
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,55.53,4.0596,31.7708,25.2127,322.08363,91.376,16.53073,0.23363,0.4646,NA,0.2572,93.7732
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,56.534,4.062,31.7722,25.2136,322.06145,91.296,16.52966,0.2124,0.4509,NA,0.2558,93.8039
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,57.549,4.0632,31.7719,25.2132,322.05259,91.273,16.52925,0.19247,0.4584,NA,0.2543,93.84
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,58.557,4.0636,31.7783,25.2183,322.03408,91.375,16.52834,0.17605,0.4629,NA,0.2558,93.8055
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,59.561,4.0833,31.7889,25.2248,321.85478,91.434,16.51977,0.16044,0.4418,NA,0.2594,93.7213
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,60.579,4.0995,31.7859,25.2209,321.73569,91.488,16.51412,0.14607,0.4433,NA,0.2631,93.635
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,61.584,4.1157,31.787,25.2202,321.60665,91.458,16.50797,0.13286,0.4339,NA,0.2709,93.4512
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,62.595,4.1236,31.7868,25.2193,321.54519,91.355,16.50506,0.12062,0.4351,NA,0.2745,93.3681
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,63.6,4.1335,31.7885,25.2198,321.46436,91.402,16.5012,0.10985,0.4297,NA,0.2841,93.1449
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,64.625,4.1401,31.7868,25.2177,321.41695,91.329,16.49895,0.10011,0.4281,NA,0.2854,93.1143
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,65.618,4.143,31.7864,25.2171,321.39539,91.333,16.49794,0.091634,0.4132,NA,0.2879,93.0538
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,66.634,4.1415,31.7843,25.2156,321.41196,91.287,16.49873,0.084303,0.4137,NA,0.2872,93.0715
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,67.642,4.143,31.7882,25.2186,321.39132,91.284,16.49773,0.077411,0.4293,NA,0.2886,93.0405
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,68.645,4.1456,31.7862,25.2167,321.37563,91.282,16.49699,0.071475,0.4159,NA,0.2884,93.0434
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,69.672,4.1453,31.7868,25.2172,321.3765,91.301,16.49704,0.066017,0.4162,NA,0.2851,93.1201
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,70.67,4.1502,31.7969,25.2248,321.31461,91.255,16.49405,0.061261,0.4246,NA,0.2892,93.0252
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,71.681,4.1654,31.7968,25.2232,321.19597,91.376,16.48841,0.057124,0.4143,NA,0.2755,93.3448
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,72.697,4.1732,31.7953,25.2212,321.13882,91.457,16.48569,0.053621,0.4193,NA,0.2689,93.498
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,73.699,4.1772,31.7951,25.2207,321.10802,91.372,16.48423,0.050568,0.4233,NA,0.2661,93.5647
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,74.715,4.1803,31.7953,25.2206,321.08334,91.355,16.48305,0.047784,0.4125,NA,0.2629,93.6382
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,75.721,4.1817,31.7963,25.2212,321.07063,91.357,16.48244,0.045385,0.412,NA,0.2666,93.5518
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,76.73,4.185,31.8006,25.2243,321.03416,91.308,16.4807,0.043168,0.4093,NA,0.2681,93.5171
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,77.742,4.1935,31.802,25.2245,320.9655,91.37,16.47742,0.041301,0.4125,NA,0.267,93.5424
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,78.753,4.2029,31.816,25.2349,320.85836,91.43,16.47227,0.039659,0.4019,NA,0.2663,93.5594
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,79.754,4.2247,31.8087,25.2269,320.70706,91.487,16.46511,0.038242,0.4037,NA,0.2651,93.5869
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,80.778,4.2254,31.8071,25.2256,320.70515,91.326,16.46502,0.036797,0.4051,NA,0.2613,93.6759
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,81.775,4.2293,31.8106,25.2279,320.66664,91.289,16.46317,0.036238,0.4078,NA,0.2641,93.6098
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,82.793,4.2381,31.8127,25.2288,320.59309,91.356,16.45966,0.03617,0.4104,NA,0.262,93.6589
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,83.796,4.248,31.821,25.2344,320.49641,91.373,16.45503,0.03617,0.3984,NA,0.2635,93.6245
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,84.816,4.2649,31.817,25.2295,320.37537,91.494,16.44929,0.03617,0.4214,NA,0.2621,93.6567
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,85.813,4.2695,31.8171,25.2291,320.34004,91.484,16.44761,0.03617,0.4007,NA,0.2632,93.6317
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,86.837,4.2724,31.814,25.2264,320.32488,91.34,16.44691,0.03617,0.3974,NA,0.2603,93.6985
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,87.836,4.2754,31.8212,25.2318,320.28376,91.302,16.44492,0.03617,0.3964,NA,0.2625,93.6484
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,88.845,4.284,31.8226,25.2322,320.21414,91.342,16.4416,0.03617,0.3961,NA,0.2597,93.7141
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,89.871,4.296,31.8211,25.2298,320.1245,91.39,16.43734,0.03617,0.3965,NA,0.2585,93.7415
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,90.865,4.2995,31.8204,25.2289,320.10008,91.396,16.43618,0.03617,0.3936,NA,0.2601,93.7053
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,91.882,4.3006,31.821,25.2292,320.08984,91.274,16.43569,0.03617,0.3888,NA,0.2611,93.6821
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,92.888,4.3033,31.8197,25.2279,320.07251,91.313,16.43488,0.03617,0.4084,NA,0.2593,93.7231
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,93.897,4.3019,31.8186,25.2272,320.08557,91.357,16.4355,0.03617,0.3945,NA,0.261,93.684
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,94.909,4.2996,31.8195,25.2281,320.10071,91.326,16.43622,0.03617,0.398,NA,0.2608,93.6888
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,95.924,4.3011,31.824,25.2316,320.07814,91.314,16.43513,0.03617,0.3908,NA,0.2581,93.7505
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,96.927,4.3119,31.8283,25.2339,319.98475,91.415,16.43066,0.03617,0.393,NA,0.2595,93.7191
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,97.939,4.3202,31.8235,25.2292,319.93188,91.403,16.42817,0.03617,0.3982,NA,0.2594,93.7196
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,98.949,4.3205,31.8214,25.2275,319.93531,91.389,16.42834,0.03617,0.3928,NA,0.2587,93.7382
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,99.958,4.3197,31.8235,25.2293,319.93585,91.32,16.42836,0.03617,0.3947,NA,0.2582,93.7495
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,100.97,4.3206,31.8261,25.2313,319.92265,91.311,16.42772,0.03617,0.3923,NA,0.2605,93.6941
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,101.979,4.3353,31.8398,25.2407,319.77682,91.34,16.42073,0.03617,0.3896,NA,0.2588,93.7351
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,102.984,4.3412,31.8256,25.2289,319.76513,91.364,16.42023,0.03617,0.3922,NA,0.2579,93.7575
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,104.001,4.3504,31.8314,25.2326,319.68049,91.358,16.41618,0.03617,0.3944,NA,0.256,93.8009
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,105.006,4.358,31.8331,25.2332,319.61761,91.345,16.41318,0.03617,0.3933,NA,0.2565,93.7877
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,106.023,4.3653,31.8311,25.2308,319.56635,91.393,16.41075,0.03617,0.4068,NA,0.2559,93.8035
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,107.025,4.3639,31.83,25.23,319.57952,91.306,16.41138,0.03617,0.3926,NA,0.2577,93.7595
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,108.042,4.3696,31.8336,25.2324,319.52722,91.287,16.40888,0.03617,0.3943,NA,0.257,93.7786
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,109.047,4.3722,31.8309,25.2301,319.51325,91.373,16.40822,0.03617,0.3905,NA,0.26,93.7068
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,110.063,4.3727,31.8317,25.2306,319.50777,91.322,16.40796,0.03617,0.3867,NA,0.2563,93.7934
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,111.065,4.3738,31.8316,25.2304,319.49904,91.279,16.40754,0.03617,0.3903,NA,0.2601,93.7047
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,112.077,4.3754,31.8322,25.2307,319.48547,91.288,16.4069,0.03617,0.3976,NA,0.2597,93.7136
