Station,Date,Time,Latitude_DD,Longitude_DD,File.Name,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,34.318,4.3007,31.7565,25.1776,309.846,96.753,16.44331,2.3055,0.2601,0.4045,0.4045,90.3826
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,35.335,4.299,31.7581,25.1791,309.613,96.678,16.44373,2.056,0.275,0.4077,0.4077,90.3085
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,36.342,4.2994,31.7577,25.1787,309.479,96.636,16.44362,1.8144,0.2653,0.404,0.404,90.393
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,37.354,4.2995,31.7582,25.179,309.503,96.644,16.44354,1.6072,0.2621,0.4023,0.4023,90.4318
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,38.36,4.2977,31.7603,25.1809,309.591,96.669,16.44395,1.4209,0.268,0.4098,0.4098,90.2617
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,39.38,4.2978,31.7605,25.1811,309.591,96.669,16.44386,1.2532,0.2669,0.4124,0.4124,90.2046
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,40.374,4.2983,31.76,25.1806,309.535,96.653,16.44377,1.1129,0.273,0.4143,0.4143,90.1606
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,41.397,4.2953,31.7626,25.183,309.645,96.682,16.44458,0.98481,0.2659,0.4188,0.4188,90.0601
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,42.398,4.2953,31.7622,25.1827,309.29,96.571,16.44458,0.87411,0.2685,0.4185,0.4185,90.0656
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,43.42,4.2935,31.7637,25.1841,310.29,96.88,16.44509,0.77152,0.2735,0.417,0.417,90.0994
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,44.41,4.2922,31.7642,25.1846,309.547,96.646,16.44549,0.6847,0.2754,0.4241,0.4241,89.9404
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,45.436,4.2892,31.7659,25.1863,308.869,96.428,16.44639,0.61106,0.2607,0.4228,0.4228,89.9684
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,46.432,4.2883,31.7677,25.1878,309.439,96.605,16.44652,0.54382,0.2701,0.4296,0.4296,89.8156
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,47.474,4.288,31.7684,25.1884,309.119,96.505,16.44656,0.47265,0.268,0.4266,0.4266,89.8829
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,48.454,4.2882,31.7683,25.1883,308.991,96.465,16.4465,0.39805,0.2665,0.4329,0.4329,89.7431
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,49.471,4.2882,31.7681,25.1881,308.422,96.287,16.4465,0.35092,0.2883,0.4283,0.4283,89.8447
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,50.476,4.2882,31.7684,25.1884,308.713,96.379,16.44649,0.3161,0.2669,0.4295,0.4295,89.8187
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,51.484,4.2887,31.77,25.1896,309.172,96.525,16.44611,0.27702,0.2576,0.4285,0.4285,89.8409
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,52.505,4.2899,31.7707,25.19,308.89,96.439,16.4456,0.25034,0.2537,0.4346,0.4346,89.7061
