KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10/31/22,6:30:25,0,Homer Deep,12.661,90.7,8.93,29.94,46.637,2.75,1.19,7.88,-72.7,7.578,5.8
11/1/22,9:15:23,0,Homer Deep,12.666,90.3,8.91,30.06,46.828,3.57,1.197,7.88,-72.4,7.416,5.8
11/4/22,16:15:00,0,Homer Deep,9.491,93.2,9.67,30.12,47.225,3.83,NaN,7.85,-70.8,5.28,4.84
11/5/22,5:45:00,0,Homer Deep,8.333,92.8,9.62,30.16,47.284,3.66,1.199,7.87,-71.5,5.273,4.73
,,,,,,,,,,,,,,
,,,MEAN VALUE:,8.509,93.2,9.03,23.33,36.446,2.84,NaN,NA,-70.6,10.351,5.57
,,,STANDARD DEVIATION:,4.507,4.1,0.75,11.63,18.149,3.79,NaN,0.1,5.2,4.861,0.41
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,21:00:00,0,Homer Deep,0.051,98.8,9.08,0.1,0.21,1.52,NaN,7.61,-59.5,19.433,5.81
10/11/22,11:45:00,0,Homer Deep,0.147,100.1,9.4,0.1,0.215,1.25,NaN,7.68,-62.9,18.384,5.49
10/12/22,15:45:00,0,Homer Deep,14.426,89.1,8.44,28.6,44.545,1.71,1.186,7.9,-73.8,9.641,5.59
10/13/22,0:45:00,0,Homer Deep,10.11,92.3,8.86,27.74,43.358,2.39,1.188,7.92,-75,9.288,5.65
10/16/22,0:45:00,0,Homer Deep,9.333,89,8.42,29.33,45.571,1.23,1.188,7.87,-72.2,9.53,5.72
10/19/22,9:45:00,0,Homer Deep,12.193,86.7,8.19,29.92,46.413,1.27,1.186,7.85,-71.2,9.436,5.76
10/21/22,6:00:00,0,Homer Deep,9.098,91.4,8.68,29.76,46.204,1.39,1.186,7.9,-74,9.212,5.77
10/21/22,20:30:00,0,Homer Deep,10.595,94.4,9.03,29.27,45.532,0.84,1.184,7.91,-74.6,9.026,5.77
10/25/22,22:00:25,0,Homer Deep,8.353,94.3,9.26,28.72,44.856,2.67,1.184,7.92,-75,8.019,5.79
11/6/22,4:00:00,0,Homer Deep,10.779,96.3,10.98,29.79,47.559,14.09,NaN,7.81,-68,1.542,4.36
,,,,,,,,,,,,,,
,,,MEAN VALUE:,9.035,92,8.88,23.49,36.624,2.44,NaN,NA,-70,10.329,5.62
,,,STANDARD DEVIATION:,4.746,4.4,0.49,11.74,18.268,1.21,NaN,0.09,4.5,4.438,0.3
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,21:15:00,0,Homer Deep,0.053,98.8,9.09,0.1,0.21,1.49,NaN,7.61,-59.5,19.389,5.8
10/11/22,12:00:00,0,Homer Deep,0.146,100.1,9.4,0.1,0.215,1.24,NaN,7.68,-63,18.385,5.48
10/12/22,12:45:00,0,Homer Deep,11.927,93.5,9.25,26.41,41.543,3.71,1.196,7.87,-72.3,8.392,5.54
10/16/22,12:15:00,0,Homer Deep,10.839,87.5,8.27,29.55,45.886,1.76,1.182,7.86,-71.6,9.476,5.73
10/17/22,10:15:00,0,Homer Deep,11.752,87.4,8.25,30,46.528,1.14,1.187,7.86,-71.9,9.41,5.74
10/18/22,4:45:00,0,Homer Deep,10.323,87.4,8.24,29.79,46.218,0.89,1.184,7.85,-71.4,9.503,5.75
10/27/22,16:15:27,0,Homer Deep,14.169,89,8.52,30.05,46.654,3.31,1.191,7.89,-73.3,8.79,5.79
10/27/22,23:45:27,0,Homer Deep,8.728,93,9.37,28.8,45.116,3.47,1.189,7.89,-72.9,6.891,5.79
11/1/22,2:45:23,0,Homer Deep,9.08,89.9,8.92,29.94,46.689,4.47,1.195,7.87,-71.8,7.197,5.8
11/4/22,23:30:00,0,Homer Deep,13.33,93.1,9.52,30.16,47.185,2.96,NaN,7.87,-71.8,5.854,4.77
,,,,,,,,,,,,,,
,,,MEAN VALUE:,10.431,91.9,8.91,26.35,41.09,3.24,NaN,NA,-71.4,9.307,5.62
,,,STANDARD DEVIATION:,3.819,3.2,0.44,8.78,13.667,2.33,NaN,0.08,4.1,3.557,0.45
